id_codedep_codecommune,Code_postal,Id_bien,Surface_carrez,Type_local,Total_piece
70550,70000,169,168.38,Appartement,4
74014,74300,170,21.29,Appartement,1
74249,74500,171,76.14,Appartement,3
75102,75002,172,36.91,Appartement,3
75103,75003,173,66,Appartement,1
75104,75004,174,25.34,Appartement,2
75105,75005,175,21.34,Appartement,1
75106,75006,176,28.55,Appartement,1
75107,75007,177,82.62,Appartement,3
75110,75010,178,30.18,Appartement,2
75111,75011,179,58.45,Appartement,3
75111,75011,180,31.12,Appartement,2
75112,75012,181,44.95,Appartement,2
75114,75014,182,25.06,Appartement,1
75115,75015,183,37.38,Appartement,2
75115,75015,184,99.96,Appartement,6
75117,75017,185,63.16,Appartement,3
75117,75017,186,47.12,Appartement,2
75118,75018,187,53.01,Appartement,3
75118,75018,188,52.46,Appartement,3
75118,75018,189,52.24,Appartement,2
75118,75018,190,29.13,Appartement,2
75118,75018,191,67.8,Appartement,3
75120,75020,192,21.01,Appartement,1
76351,76600,193,19.90,Appartement,1
76447,76290,194,45.84,Appartement,1
76451,76130,195,39.3,Appartement,2
77005,77410,196,32.99,Appartement,2
77014,77210,197,24.06,Appartement,1
77058,77600,198,53.6,Appartement,2
77058,77600,199,31.42,Appartement,1
77059,77600,200,111.15,Maison,5
77192,77610,201,60.25,Appartement,3
77259,77230,202,75.06,Maison,4
77288,77000,203,33.49,Appartement,2
77288,77000,204,44.94,Appartement,2
77379,77160,205,66.54,Appartement,3
78005,78260,206,42.2,Appartement,2
78372,78160,207,67.6,Appartement,4
78372,78160,208,53.05,Appartement,3
78383,78310,209,27.81,Appartement,1
78550,78640,210,101.85,Maison,6
78621,78190,211,55.06,Appartement,3
78646,78000,212,80.38,Appartement,4
82096,82290,213,71.05,Maison,3
83009,83150,214,37.6,Appartement,2
83009,83150,215,15.20,Appartement,1
83034,83320,216,29.85,Appartement,2
83070,83980,217,64.84,Appartement,3
85035,85470,218,37.82,Appartement,2
85127,85560,219,64.41,Appartement,3
85194,85100,220,63.63,Appartement,3
85262,85660,221,88.5,Maison,4
88372,88110,222,81.24,Appartement,3
90010,90000,223,42.25,Appartement,2
90010,90000,224,56,Appartement,3
91114,91800,225,69.17,Appartement,4
91225,91450,226,146.94,Maison,6
91326,91260,227,49,Appartement,3
91377,91300,228,93.02,Appartement,5
91425,91310,229,40,Appartement,2
91570,91240,230,115.97,Maison,5
91589,91600,231,90,Maison,2
92004,92600,232,67.23,Appartement,4
92004,92600,233,40.69,Appartement,3
92004,92600,234,54.2,Appartement,2
92009,92270,235,52.47,Appartement,3
92012,92100,236,65.62,Appartement,1
92012,92100,237,87.15,Appartement,4
92012,92100,238,23.80,Appartement,1
92012,92100,239,31.2,Appartement,2
92012,92100,240,78.02,Appartement,4
92014,92340,241,76.85,Appartement,1
92022,92370,242,59.73,Appartement,3
92023,92140,243,40.8,Appartement,3
92025,92700,244,61.06,Appartement,3
